"name","group","element","units","context","S351679","S351680","S351681","S351682","S351683","S351684","S351685","S351686","S351687","S351688","S351689","S351690","S351691","S351692","S351693","S351694","S351695","S351696","S351697","S351698","S351699","S351700","S351701","S351702","S351703","S351704","S351705","S351706","S351707","S351708","S351709","S351710"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,40,50,60,70,80,90,100,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,351679,351680,351681,351682,351683,351684,351685,351686,351687,351688,351689,351690,351691,351692,351693,351694,351695,351696,351697,351698,351699,351700,351701,351702,351703,351704,351705,351706,351707,351708,351709,351710
EPD default,Radiocarbon years BP,,,,--/373/--,--/466/--,--/559/--,--/652/--,--/745/--,--/839/--,--/932/--,--/1118/--,--/1211/--,--/1305/--,--/1398/--,--/1491/--,--/1584/--,--/1677/--,--/1770/--,--/1864/--,--/1957/--,--/2050/--,--/2346/--,--/2642/--,--/2939/--,--/3235/--,--/3531/--,--/3828/--,--/4124/--,--/4420/--,--/4716/--,--/5012/--,--/5309/--,--/5605/--,--/5901/--,--/6198/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,786/370/-44,854/461/69,923/553/182,992/644/296,1061/736/408,1132/828/522,1202/919/634,1344/1102/855,1417/1194/966,1490/1285/1076,1565/1377/1186,1641/1468/1294,1718/1560/1402,1795/1651/1507,1875/1743/1610,1958/1834/1712,2044/1926/1809,2137/2018/1899,2513/2398/2289,2900/2778/2667,3290/3159/3038,3682/3539/3406,4081/3920/3770,4483/4300/4130,4889/4680/4487,5298/5061/4841,5708/5441/5192,6120/5822/5542,6533/6202/5892,6946/6582/6240,7359/6963/6587,7774/7343/6935
Abies,TRSH,pollen,NISP,,,,,,,,,2,,,,1,1,,,,,,,2,,,,,1,,,,,2,,
Acer,TRSH,pollen,NISP,,,,,1,,2,,,,3,3,,,1,2,3,1,1,5,2,,2,2,2,1,2,1,,2,1,,
Alisma,AQVP,pollen,NISP,,,,1,3,2,,,,,,,,1,2,,,,,,2,2,,,,1,2,,,5,,,1
Allium-type,UPHE,pollen,NISP,,1,,,,,,,2,,,2,,,,,,,,1,,,1,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,,2,4,,6,4,3,3,5,3,7,3,7,4,3,,3,,2,2,3,10,4,6,4,,,,3,2,3,3
Amaranthaceae,UPHE,pollen,NISP,,25,52,18,20,22,24,18,15,14,18,17,13,22,12,22,8,7,5,12,4,6,10,4,10,15,8,8,7,10,6,5,19
Apiaceae,UPHE,pollen,NISP,,8,8,10,10,8,16,10,8,7,4,6,4,8,3,3,5,4,3,4,6,4,26,3,3,1,2,5,3,7,,2,
Artemisia,UPHE,pollen,NISP,,13,10,15,16,14,19,15,18,19,15,16,12,14,16,23,11,13,15,25,12,7,10,11,10,15,10,7,5,8,10,7,15
Aster-type,UPHE,pollen,NISP,,8,10,8,10,12,9,16,7,4,8,8,9,12,2,7,,,,,3,,6,4,4,5,4,8,4,5,2,,5
Betula,TRSH,pollen,NISP,,,5,4,,4,5,5,3,7,4,5,3,5,4,6,5,4,3,10,5,5,5,6,8,9,4,,,6,3,6,5
Boraginaceae,UPHE,pollen,NISP,,,2,2,,,,1,,,,,1,,,2,,,,2,,,,,1,2,,,,,1,,
Brassicaceae,UPHE,pollen,NISP,,,,3,4,5,5,4,,,,2,,3,,,,1,2,,,,,1,3,,,,,1,,,
Butomus,AQVP,pollen,NISP,,4,21,8,9,10,9,9,6,16,4,9,6,10,6,,,2,,32,4,4,4,5,9,6,,9,6,17,,,3
Campanulaceae,UPHE,pollen,NISP,,,1,,,,2,,,,,2,1,,1,,,,,1,,,,,,,,,,,,,
Carpinus betulus,TRSH,pollen,NISP,,18,12,9,14,9,14,7,8,9,9,14,24,18,22,19,12,14,11,23,19,12,11,28,25,20,19,18,6,26,14,14,13
Caryophyllaceae,UPHE,pollen,NISP,,2,1,,3,4,2,6,4,,2,,7,,,3,1,3,,,2,2,2,,2,,,2,3,3,,,2
Castanea,TRSH,pollen,NISP,,,,,,1,2,,,,,,,,,,1,2,,,1,,2,3,2,2,,,,,,,
Centaurea cyanus,UPHE,pollen,NISP,,2,10,5,3,4,6,5,4,6,3,5,4,4,3,5,,3,5,6,3,2,4,2,4,2,,2,,,1,,
Centaurea jacea-type,UPHE,pollen,NISP,,,2,,,2,,,,2,,,2,,,1,,,,2,,,2,,,1,,,,,2,,1
Cirsium-type,UPHE,pollen,NISP,,6,2,10,3,10,12,6,7,,8,10,13,15,5,4,8,4,8,4,6,4,4,7,6,2,3,6,4,3,6,5,5
